codigo;moeda_compra;moeda_utilizada;preco;dt_cotacao;hr_cotacao;preco_dia;preco_semana;preco_mes;preco_ano;
1;BTC;BRL;357503,0904;30/05/2024;11:34:32;357503,0904;357503,0904;357503,0904;357503,0904;
2;ETH;BRL;19692,6504;30/05/2024;11:34:33;19692,6504;19692,6504;19692,6504;19692,6504;
3;PAXG;BRL;12197,9416;30/05/2024;11:34:33;12197,9416;12197,9416;12197,9416;12197,9416;
4;PAXG;BRL;12197,9416;30/05/2024;11:34:44;12197;12197;12197;12197;
5;PAXG;USDT;2344;30/05/2024;11:34:48;2344;2344;2344;2344;
6;BTC;USDT;68699,07;30/05/2024;11:34:52;68699,07;68699,07;68699,07;68699,07;
7;PAXG;USDT;2344;30/05/2024;11:34:53;2344;2344;2344;2344;
8;BTC;USDT;68298,35;30/05/2024;12:23:46;68298,35;68298,35;68298,35;68298,35;
9;ETH;USDT;3773,11;30/05/2024;12:23:47;3773,11;3773,11;3773,11;3773,11;
10;PAXG;USDT;2340;30/05/2024;12:23:47;2340;2340;2340;2340;
11;BTC;BRL;355641,308;30/05/2024;12:24:08;355641,308;355641,308;355641,308;355641,308;
12;ETH;BRL;19649,4714;30/05/2024;12:24:09;19649,4714;19649,4714;19649,4714;19649,4714;
13;PAXG;BRL;12177,36;30/05/2024;12:24:09;12177,36;12177,36;12177,36;12177,36;
